"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.91208027785174e-25,0.860745024404061,0.41,0.287,9.9315982013822e-21,"0","KANK1"
9.12852551354969e-25,0.580846898717357,0.559,0.458,2.31745877212486e-20,"0","CTSK"
1.40332445056661e-24,0.762349688459434,0.458,0.341,3.56261978265346e-20,"0","ZNF385D"
2.99276670060544e-24,1.08997375210019,0.28,0.167,7.59773682282702e-20,"0","GBP1P1"
3.36945531099387e-24,0.553451994064149,0.598,0.499,8.55403619802014e-20,"0","CSF1"
4.41365037096733e-24,0.899553240023585,0.334,0.21,1.12049341967747e-19,"0","SPON2"
9.78123951957895e-24,0.980923914479636,0.304,0.186,2.48316327683551e-19,"0","IGF1"
1.52483266252793e-23,0.537821895558591,0.627,0.54,3.87109268035965e-19,"0","LDLR"
1.57936995168077e-23,0.715485201066109,0.445,0.328,4.00954649633197e-19,"0","AC023157.1"
2.61542723087686e-23,0.590544890697453,0.541,0.422,6.63978511102709e-19,"0","HSD11B1"
3.6104200107772e-23,0.649986539888861,0.496,0.388,9.16577328136007e-19,"0","MCC"
5.52158815644486e-23,0.794180009726192,0.421,0.298,1.40176558527666e-18,"0","PAG1"
1.10262781657497e-22,0.55649840815906,0.582,0.497,2.79924123793889e-18,"0","RERE"
1.10966392919244e-22,0.570589799325297,0.552,0.451,2.81710381704084e-18,"0","SLC25A28"
1.26313353830893e-22,0.572563350330954,0.557,0.441,3.20671711370489e-18,"0","LAMB3"
1.22464528949844e-21,0.558807214622511,0.541,0.431,3.10900699644968e-17,"0","RNF144B"
1.49418330881766e-21,0.756593890156723,0.41,0.294,3.79328316609538e-17,"0","ICAM1"
1.66036664039107e-21,0.928647570533559,0.325,0.217,4.21517278996081e-17,"0","FAP"
2.13154936456475e-21,0.591182678049386,0.526,0.422,5.41136437182053e-17,"0","ZBTB20"
2.21422139517903e-21,0.686098191498544,0.452,0.348,5.621243855941e-17,"0","BDH2"
2.85129798826102e-21,0.789210948366158,0.393,0.284,7.23859020279825e-17,"0","LACC1"
4.13966943231197e-21,0.930920262546132,0.321,0.213,1.05093787878104e-16,"0","C1QTNF6"
6.61785907264604e-21,0.745559041635272,0.433,0.341,1.68007588277265e-16,"0","LRRC75A-AS1"
1.31333900812479e-20,0.62305510220808,0.523,0.43,3.3341737399264e-16,"0","C14orf132"
1.47451145085425e-20,0.736579368524955,0.38,0.261,3.74334222028369e-16,"0","HAPLN1"
1.69677937920795e-20,0.526912880781034,0.592,0.532,4.30761380999523e-16,"0","DPP7"
3.19278156063799e-20,0.987687233905173,0.296,0.194,8.10551454799168e-16,"0","PLEKHH2"
4.04480375875479e-20,0.599919407135743,0.497,0.396,1.02685433023508e-15,"0","DNAJB2"
4.85878848601797e-20,0.642651824882368,0.475,0.383,1.23350063294538e-15,"0","AL136968.2"
6.24315257233252e-20,0.785103595336467,0.372,0.265,1.58494914353806e-15,"0","TCF7L1"
1.14456466242103e-19,0.842343179371894,0.336,0.23,2.90570630848827e-15,"0","MTHFR"
1.44439123408946e-19,0.726002708658161,0.431,0.325,3.6668760259829e-15,"0","FBLN5"
1.70021133053846e-19,0.810322346279921,0.346,0.237,4.316326504838e-15,"0","STARD4"
3.07430409696578e-19,0.928501552737148,0.28,0.175,7.80473581096703e-15,"0","CH25H"
4.90010121213544e-19,0.739662846924846,0.419,0.324,1.24398869472482e-14,"0","RGS3"
7.1921042911393e-19,0.559307300470076,0.505,0.411,1.82585951639153e-14,"0","MIR210HG"
1.04504780616145e-18,1.05622931232486,0.254,0.154,2.65306286550207e-14,"0","LPL"
1.22529749988498e-18,0.587178052383141,0.463,0.352,3.110662762958e-14,"0","APLN"
1.38984936383921e-18,0.591827302902115,0.505,0.417,3.52841057997859e-14,"0","AGPAT4"
1.61185918093387e-18,0.88551767829135,0.307,0.208,4.09202690263682e-14,"0","MARCH3"
4.19549886892197e-18,0.616987789611668,0.479,0.39,1.06511129785322e-13,"0","DIP2C"
9.42298337172429e-18,0.861220387955684,0.326,0.232,2.39221278857965e-13,"0","LETMD1"
2.02800733992789e-17,0.813456803432731,0.337,0.242,5.14850223387493e-13,"0","VWA5A"
